answer|answerValue|victory|guesses|values|rounds
alpha|3207|true|cares, aunty, ahold, alpha|11687, 6056, 4679, 0|4
altar|4627|true|cares, algor, alvar, altar|11687, 3924, 0, 0|4
alter|6035|true|cares, aimer, auger, alter|11687, 6565, 6212, 6035|4
amass|7328|true|cares, aunts, aidos, amyls, amass|11687, 8385, 7752, 6273, 7328|5
amaze|4739|true|cares, aline, azote, avyze, amaze|11687, 6011, 5129, 3279, 4739|5
amber|5026|true|cares, aimer, amber|11687, 6565, 5026|3
amble|4375|true|cares, aline, amole, ample, amble|11687, 6011, 5220, 4405, 4375|5
amend|4074|true|cares, ahent, amend|11687, 4577, 4074|3
amiss|7102|true|cares, aunts, aidos, alifs, amias, amiss|11687, 8385, 7752, 7357, 7652, 7102|6
amity|5123|true|cares, aunty, amity|11687, 6056, 5123|3
among|3495|true|cares, aunty, ahind, along, among|11687, 6056, 4796, 4169, 3495|5
ample|4405|true|cares, aline, amole, ample|11687, 6011, 5220, 4405|4
amply|4124|true|cares, aunty, amply|11687, 6056, 4124|3
amuse|4569|true|cares, anise, amuse|11687, 5260, 4569|3
angel|5018|true|cares, ailed, angel|11687, 7009, 5018|3
anger|5271|true|cares, aimer, auger, anger|11687, 6565, 6212, 5271|4
angle|4620|true|cares, aline, anole, angle|11687, 6011, 5426, 4620|4
angry|4277|true|cares, azury, angry|11687, 4277, 4277|3
angst|3408|true|cares, alist, adust, angst|11687, 4762, 3481, 3408|4
anime|5043|true|cares, aline, anime|11687, 6011, 5043|3
ankle|4473|true|cares, aline, anole, angle, anele, ankle|11687, 6011, 5426, 4620, 5248, 4473|6
annex|5136|true|cares, ailed, axmen, annex|11687, 7009, 4826, 0|4
annoy|4908|true|cares, aunty, annoy|11687, 6056, 0|3
annul|3528|true|cares, aunty, annul|11687, 6056, 0|3
anode|5033|true|cares, aline, anode|11687, 6011, 5033|3
antic|3233|true|cares, aulic, amnic, antic|11687, 4407, 3403, 3233|4
anvil|3269|true|cares, aunty, anigh, anvil|11687, 6056, 3635, 3269|4
aorta|6395|true|cares, airth, aorta|11687, 5370, 0|3
apart|4564|true|cares, azury, aport, apart|11687, 4277, 4258, 0|4
aphid|3278|true|cares, aunty, ahold, aphid|11687, 6056, 4679, 3278|4
aping|3641|true|cares, aunty, ahind, amino, aping|11687, 6056, 4796, 3838, 3641|5
apnea|5662|true|cares, ailed, axmen, apnea|11687, 7009, 4826, 0|4
apple|4471|true|cares, aline, amole, avale, abele, apple|11687, 6011, 5220, 0, 4913, 4471|6
apply|4190|true|cares, aunty, amply, apply|11687, 6056, 4124, 0|4
apron|4021|true|cares, airth, apron|11687, 5370, 4021|3
aptly|4495|true|cares, aunty, aptly|11687, 6056, 4495|3
arbor|4192|true|cares, aroid, argot, arroz, armor, arbor|11687, 5301, 4326, 0, 4372, 4192|6
ardor|4265|true|cares, aroid, ardor|11687, 5301, 0|3
arena|4858|false|cares, arefy, arett, arere, areae, arene|11687, 5077, 0, 0, 6327, 6060|6
argue|4945|true|cares, argle, argue|11687, 5395, 4945|3
arise|6035|true|cares, arise|11687, 6035|2
armor|4372|true|cares, aroid, argot, arroz, armor|11687, 5301, 4326, 0, 4372|5
aroma|4536|true|cares, aroid, aroma|11687, 5301, 0|3
arose|5955|true|cares, arise, arose|11687, 6035, 5955|3
array|6348|true|cares, airth, apron, aurum, array|11687, 5370, 4021, 0, 6348|5
arrow|4357|true|cares, airth, apron, arroz, arrow|11687, 5370, 4021, 0, 4357|5
arson|4188|true|cares, arson|11687, 4188|2
artsy|5164|true|cares, artsy|11687, 5164|2
ascot|3245|true|cares, ascot|11687, 3245|2
ashen|4421|true|cares, asked, ashet, ashen|11687, 4857, 4741, 4421|4
aside|4790|true|cares, aside|11687, 4790|2
askew|3997|true|cares, asked, askew|11687, 4857, 3997|3
assay|4502|true|cares, astun, aswim, asyla, assay|11687, 2857, 2546, 0, 4502|5
asset|5225|true|cares, asked, ashet, asset|11687, 4857, 4741, 0|4
atoll|3996|true|cares, aunty, attap, atoll|11687, 6056, 0, 0|4
atone|5347|true|cares, aline, atone|11687, 6011, 5347|3
attic|3117|true|cares, aulic, amnic, azoic, attic|11687, 4407, 3403, 3342, 3117|5
audio|4201|true|cares, aunty, aumil, audio|11687, 6056, 4493, 4201|4
audit|4734|true|cares, aunty, audit|11687, 6056, 4734|3
augur|4050|true|cares, algor, augur|11687, 3924, 0|3
aunty|6056|true|cares, aunty|11687, 6056|2
avail|4158|true|cares, aunty, ahold, axial, avail|11687, 6056, 4679, 0, 4158|5
avert|3855|true|cares, aiery, alert, apert, avert|11687, 6058, 4688, 4080, 3855|5
avian|4159|true|cares, aunty, aloin, avian|11687, 6056, 4713, 0|4
avoid|4161|true|cares, aunty, ahold, axoid, avoid|11687, 6056, 4679, 4165, 4161|5
await|4646|true|cares, aunty, aloft, aight, await|11687, 6056, 4263, 4137, 4646|5
awake|5132|true|cares, aline, azote, awave, awake|11687, 6011, 5129, 0, 5132|5
award|4440|true|cares, azury, aport, awarn, award|11687, 4277, 4258, 0, 4440|5
aware|5445|true|cares, alure, afire, adore, arere, aware|11687, 5427, 5044, 5036, 5961, 5445|6
awash|3824|true|cares, alist, abysm, awash|11687, 4762, 2128, 0|4
awful|2403|true|cares, aunty, aloud, ampul, awful|11687, 6056, 4439, 2641, 2403|5
awoke|4826|true|cares, aline, azote, apode, awoke|11687, 6011, 5129, 4893, 4826|5
axial|4135|true|cares, aunty, ahold, axial|11687, 6056, 4679, 0|4
axiom|3320|true|cares, aunty, ahold, axiom|11687, 6056, 4679, 3320|4
axion|3756|true|cares, aunty, aloin, axion|11687, 6056, 4713, 3756|4
azure|4558|true|cares, alure, azure|11687, 5427, 4558|3
bacon|5587|true|cares, tacky, bacon|11687, 6202, 5587|3
badge|6559|true|cares, daine, padle, badge|11687, 7596, 6912, 6559|4
badly|6712|true|cares, banty, balky, badly|11687, 7454, 6832, 6712|4
bagel|7357|true|cares, waney, baled, bagel|11687, 8476, 8195, 7357|4
baggy|6244|true|cares, banty, balky, bawdy, baggy|11687, 7454, 6832, 6151, 6244|5
baker|7463|true|cares, baler, baker|11687, 8139, 7463|3
baler|8139|true|cares, baler|11687, 8139|2
balmy|6744|true|cares, banty, balky, baldy, bally, balmy|11687, 7454, 6832, 6814, 7207, 6744|6
banal|6621|true|cares, banty, bandh, banjo, banal|11687, 7454, 5801, 5230, 6621|5
banjo|5230|true|cares, banty, bandh, banjo|11687, 7454, 5801, 5230|4
barge|7455|true|cares, parle, barde, barge|11687, 7808, 7496, 7455|4
baron|6500|true|cares, barny, baron|11687, 7645, 6500|3
basal|6131|true|cares, pasty, basin, basho, basks, basal|11687, 6883, 5960, 4972, 8814, 6131|6
basic|5458|true|cares, basic|11687, 5458|2
basil|5932|true|cares, pasty, basin, basil|11687, 6883, 5960, 5932|4
basin|5960|true|cares, pasty, basin|11687, 6883, 5960|3
basis|9294|true|cares, baits, basis|11687, 9997, 0|3
baste|7245|true|cares, baste|11687, 7245|2
batch|5448|true|cares, talcy, batch|11687, 6719, 5448|3
bathe|6585|true|cares, daine, haole, bathe|11687, 7596, 7241, 6585|4
baton|5866|true|cares, banty, baton|11687, 7454, 5866|3
batty|7078|true|cares, banty, bawty, batty|11687, 7454, 6648, 0|4
bawdy|6151|true|cares, banty, balky, bawdy|11687, 7454, 6832, 6151|4
bayou|4789|true|cares, banty, bayou|11687, 7454, 4789|3
beach|5567|true|cares, beach|11687, 5567|2
beady|6700|true|cares, beaty, beany, beaky, beady|11687, 7197, 7130, 6718, 6700|5
beard|6307|true|cares, teary, beard|11687, 6913, 6307|3
beast|6162|true|cares, beast|11687, 6162|2
beech|5083|true|cares, bench, belch, beech|11687, 5127, 4984, 0|4
beefy|5944|true|cares, benty, beigy, bezzy, belly, beefy|11687, 6757, 6433, 0, 6510, 5944|6
befit|5173|true|cares, benty, begot, befit|11687, 6757, 5193, 5173|4
began|5280|true|cares, belay, bemad, begat, began|11687, 6814, 5702, 5600, 5280|5
begat|5600|true|cares, belay, bemad, begat|11687, 6814, 5702, 5600|4
beget|7008|true|cares, boney, biled, bewet, beget|11687, 8870, 7213, 0, 7008|5
begin|5081|true|cares, benty, belon, begin|11687, 6757, 5402, 5081|4
begun|4526|true|cares, benty, belon, begin, begun|11687, 6757, 5402, 5081, 4526|5
being|5423|true|cares, benty, being|11687, 6757, 5423|3
belch|4984|true|cares, bench, belch|11687, 5127, 4984|3
belie|6896|true|cares, benty, bemud, below, belee, belie|11687, 6757, 4948, 4823, 8503, 6896|6
belle|6791|false|cares, benty, bemud, below, belee, belie|11687, 6757, 4948, 4823, 8503, 6896|6
belly|6510|true|cares, benty, beigy, bezzy, belly|11687, 6757, 6433, 0, 6510|5
below|4823|true|cares, benty, bemud, below|11687, 6757, 4948, 4823|4
bench|5127|true|cares, bench|11687, 5127|2
beret|7938|true|cares, bored, buret, beret|11687, 8404, 7441, 0|4
berry|6849|true|cares, derny, ferly, perky, berry|11687, 6662, 6563, 6455, 6849|5
berth|5859|true|cares, derny, merit, berth|11687, 6662, 6049, 5859|4
beset|7190|false|cares, posey, bused, bises, beses, besee|11687, 8299, 6654, 0, 10204, 8156|6
betel|6956|true|cares, boney, biled, bezel, betel|11687, 8870, 7213, 0, 6956|5
bevel|6518|true|cares, boney, biled, bezel, betel, bevel|11687, 8870, 7213, 0, 6956, 6518|6
bezel|6382|true|cares, boney, biled, bezel|11687, 8870, 7213, 0|4
bible|5938|true|cares, boite, binge, bikie, bible|11687, 7757, 6215, 0, 5938|5
bicep|5963|true|cares, dicey, bicep|11687, 7139, 5963|3
biddy|5337|true|cares, ponty, bilgy, bizzy, biddy|11687, 7181, 5791, 0, 5337|5
bigot|4908|true|cares, ponty, bigot|11687, 7181, 4908|3
bilge|6072|true|cares, boite, binge, bilge|11687, 7757, 6215, 6072|4
billy|6225|true|cares, ponty, bilgy, billy|11687, 7181, 5791, 0|4
binge|6215|true|cares, boite, binge|11687, 7757, 6215|3
bingo|4716|true|cares, ponty, bingo|11687, 7181, 4716|3
biome|6320|true|cares, boite, biome|11687, 7757, 6320|3
birch|5100|true|cares, porch, birch|11687, 5809, 5100|3
birth|5574|true|cares, borty, birth|11687, 7520, 5574|3
bison|4770|true|cares, bosky, bison|11687, 6293, 4770|3
bitty|6096|true|cares, ponty, milty, wifty, bitty|11687, 7181, 6047, 4986, 6096|5
black|4460|true|cares, poach, diact, black|11687, 5991, 5467, 4460|4
blade|6011|true|cares, poake, diane, blade|11687, 7423, 6840, 6011|4
blame|5941|true|cares, poake, diane, blate, blame|11687, 7423, 6840, 6508, 5941|5
bland|5436|true|cares, goaty, bland|11687, 7373, 5436|3
blank|4867|true|cares, goaty, bland, blank|11687, 7373, 5436, 4867|4
blare|6342|true|cares, blare|11687, 6342|2
blast|5192|true|cares, boast, blast|11687, 6667, 5192|3
blaze|5617|true|cares, poake, diane, blate, blame, blaze|11687, 7423, 6840, 6508, 5941, 5617|6
bleak|4650|true|cares, zoeal, bleat, bleak|11687, 5411, 5258, 4650|4
bleat|5258|true|cares, zoeal, bleat|11687, 5411, 5258|3
bleed|6627|true|cares, boney, biled, blued, bleed|11687, 8870, 7213, 6400, 6627|5
bleep|5889|true|cares, boney, biled, bluet, bleep|11687, 8870, 7213, 6439, 5889|5
blend|4952|true|cares, goety, bield, blend|11687, 6889, 5600, 4952|4
bless|7722|true|cares, boets, bhels, bleys, blees, bless|11687, 9547, 7758, 7146, 9680, 7722|6
blimp|3972|true|cares, ponty, guimp, blimp|11687, 7181, 4116, 3972|4
blind|5210|true|cares, ponty, blind|11687, 7181, 5210|3
blink|4641|true|cares, ponty, blind, blink|11687, 7181, 5210, 4641|4
bliss|7980|true|cares, boils, blits, blins, bliss|11687, 9701, 8330, 8263, 7980|5
blitz|4372|true|cares, ponty, filth, blitz|11687, 7181, 4825, 4372|4
bloat|5436|true|cares, today, bloat|11687, 6706, 5436|3
block|4154|true|cares, poncy, block|11687, 6707, 4154|3
bloke|5723|true|cares, boite, bloke|11687, 7757, 5723|3
blond|5130|true|cares, ponty, blond|11687, 7181, 5130|3
blood|4990|true|cares, ponty, viold, flood, blood|11687, 7181, 4981, 0, 4990|5
bloom|4273|true|cares, ponty, viold, kloof, bloom|11687, 7181, 4981, 0, 4273|5
blown|4032|true|cares, ponty, quoin, blown|11687, 7181, 4409, 4032|4
bluer|6344|true|cares, boner, biter, bluer|11687, 8090, 6924, 6344|4
bluff|3190|true|cares, ponty, build, bluff|11687, 7181, 5646, 0|4
blunt|4764|true|cares, ponty, glint, blunt|11687, 7181, 4920, 4764|4
blurb|3755|true|cares, loury, blurt, blurb|11687, 6408, 4665, 0|4
blurt|4665|true|cares, loury, blurt|11687, 6408, 4665|3
blush|4010|true|cares, bousy, blush|11687, 6641, 4010|3
board|6812|true|cares, goary, boart, board|11687, 7207, 6851, 6812|4
boast|6667|true|cares, boast|11687, 6667|2
bobby|5781|true|cares, ponty, doily, womby, booby, bobby|11687, 7181, 7086, 5375, 6626, 5781|6
boney|8870|true|cares, boney|11687, 8870|2
bongo|5506|true|cares, ponty, gonif, mongo, bongo|11687, 7181, 5377, 0, 5506|5
bonus|9037|true|cares, boils, bouts, bonus|11687, 9701, 9320, 9037|4
booby|6626|true|cares, ponty, doily, womby, booby|11687, 7181, 7086, 5375, 6626|5
boost|6361|true|cares, bousy, boost|11687, 6641, 0|3
booth|6240|true|cares, ponty, mouth, fowth, booth|11687, 7181, 5553, 4952, 6240|5
booty|7396|true|cares, ponty, gouty, boxty, booty|11687, 7181, 6662, 6304, 7396|5
booze|6786|true|cares, boite, boule, bowne, booze|11687, 7757, 7168, 6670, 6786|5
boozy|6505|false|cares, ponty, doily, womby, booky, boogy|11687, 7181, 7086, 5375, 6917, 6858|6
borax|6133|true|cares, moray, boral, borak, borax|11687, 7438, 6687, 6427, 6133|5
borne|7734|true|cares, borne|11687, 7734|2
bosom|5124|true|cares, bosky, bosun, bosom|11687, 6293, 5213, 0|4
bossy|6422|true|cares, bosky, bossy|11687, 6293, 0|3
botch|5256|true|cares, poncy, botch|11687, 6707, 5256|3
bough|5297|true|cares, ponty, mould, bough|11687, 7181, 5881, 5297|4
boule|7168|true|cares, boite, boule|11687, 7757, 7168|3
bound|6200|true|cares, ponty, bound|11687, 7181, 6200|3
bowel|7031|true|cares, boney, botel, bowel|11687, 8870, 7461, 7031|4
boxer|7132|true|cares, boner, bower, boxer|11687, 8090, 7284, 7132|4
brace|6341|true|cares, brace|11687, 6341|2
braid|5811|true|cares, praty, braid|11687, 6453, 5811|3
brain|5530|true|cares, praty, braid, brain|11687, 6453, 5811, 5530|4
brake|6336|true|cares, brane, brake|11687, 6748, 6336|3
brand|5743|true|cares, praty, braid, brand|11687, 6453, 5811, 5743|4
brash|5028|true|cares, brast, brash|11687, 5499, 5028|3
brass|8513|true|cares, brats, brans, braks, brass|11687, 8863, 8796, 8384, 8513|5
brave|5980|true|cares, brane, brake, brame, brave|11687, 6748, 6336, 6248, 5980|5
bravo|4481|true|cares, praty, braid, brank, brava, bravo|11687, 6453, 5811, 5174, 4778, 4481|6
brawl|4617|false|cares, praty, braid, brank, brava, braza|11687, 6453, 5811, 5174, 4778, 4722|6
brawn|4645|true|cares, praty, braid, brank, brawn|11687, 6453, 5811, 5174, 4645|5
bread|5526|true|cares, bread|11687, 5526|2
break|4957|true|cares, bread, break|11687, 5526, 4957|3
breed|6934|true|cares, pried, trued, orbed, breed|11687, 7111, 6589, 5488, 6934|5
briar|5728|true|cares, broad, briar|11687, 5704, 0|3
bribe|5819|true|cares, brine, bride, brize, bribe|11687, 6522, 6092, 5698, 5819|5
brick|4541|true|cares, pricy, brick|11687, 5753, 4541|3
bride|6092|true|cares, brine, bride|11687, 6522, 6092|3
brief|6359|true|cares, pried, brief|11687, 7111, 6359|3
brine|6522|true|cares, brine|11687, 6522|2
bring|4760|true|cares, briny, brink, bring|11687, 6241, 4948, 4760|4
brink|4948|true|cares, briny, brink|11687, 6241, 4948|3
briny|6241|true|cares, briny|11687, 6241|2
brisk|4665|true|cares, brosy, brust, brisk|11687, 5878, 4788, 4665|4
broad|5704|true|cares, broad|11687, 5704|2
broil|5196|true|cares, briny, broil|11687, 6241, 5196|3
broke|6030|true|cares, brine, brute, broke|11687, 6522, 6104, 6030|4
brood|5297|true|cares, briny, broth, broom, brood|11687, 6241, 5072, 0, 5297|5
brook|4728|false|cares, briny, broth, broom, brood, brool|11687, 6241, 5072, 0, 5297, 4988|6
broom|4580|true|cares, briny, broth, broom|11687, 6241, 5072, 0|4
broth|5072|true|cares, briny, broth|11687, 6241, 5072|3
brown|4339|true|cares, briny, brown|11687, 6241, 4339|3
brunt|5071|true|cares, briny, brond, brunt|11687, 6241, 5437, 5071|4
brush|4317|true|cares, brosy, brust, brush|11687, 5878, 4788, 4317|4
brute|6104|true|cares, brine, brute|11687, 6522, 6104|3
buddy|5125|true|cares, ponty, bilgy, buzzy, buddy|11687, 7181, 5791, 0, 5125|5
budge|5365|true|cares, boite, bunde, budge|11687, 7757, 6044, 5365|4
buggy|5050|true|cares, ponty, bilgy, buggy|11687, 7181, 5791, 0|4
bugle|5765|true|cares, boite, bunde, bulge, bugle|11687, 7757, 6044, 5860, 5765|5
build|5646|true|cares, ponty, build|11687, 7181, 5646|3
built|5685|true|cares, ponty, built|11687, 7181, 5685|3
bulge|5860|true|cares, boite, bunde, bulge|11687, 7757, 6044, 5860|4
bulky|5638|true|cares, ponty, bilgy, bulky|11687, 7181, 5791, 5638|4
bully|6013|true|cares, ponty, bilgy, bulky, bully|11687, 7181, 5791, 5638, 6013|5
bunch|4630|true|cares, poncy, bunch|11687, 6707, 4630|3
bunny|6193|true|cares, ponty, bingy, bundy, bunny|11687, 7181, 5934, 5763, 6193|5
burly|6414|true|cares, borty, burly|11687, 7520, 6414|3
burnt|5766|true|cares, borty, burnt|11687, 7520, 5766|3
burst|5483|true|cares, gorsy, burst|11687, 6841, 5483|3
bused|6654|true|cares, posey, bused|11687, 8299, 6654|3
bushy|4996|true|cares, bosky, busty, bushy|11687, 6293, 5770, 4996|4
butch|4254|true|cares, poncy, mulct, butch|11687, 6707, 4676, 4254|4
butte|6165|true|cares, boite, butte|11687, 7757, 0|3
buxom|3654|true|cares, ponty, buxom|11687, 7181, 3654|3
buyer|6227|true|cares, boner, biter, bluer, buyer|11687, 8090, 6924, 6344, 6227|5
bylaw|3654|true|cares, today, mynah, bylaw|11687, 6706, 3943, 3654|4
cabal|5948|true|cares, canty, calid, capul, cabal|11687, 7492, 6626, 5224, 5948|5
cabby|6011|true|cares, canty, calmy, cadgy, cacky, cabby|11687, 7492, 6782, 6316, 6358, 6011|6
cabin|5777|true|cares, canty, cabin|11687, 7492, 5777|3
cable|6958|true|cares, canoe, cadie, caple, cable|11687, 7566, 7136, 6988, 6958|5
cacao|5819|true|cares, canty, calid, campo, cacao|11687, 7492, 6626, 5174, 5819|5
cache|6344|true|cares, canoe, cadie, caple, cache|11687, 7566, 7136, 6988, 6344|5
cacti|5463|true|cares, canty, cacti|11687, 7492, 0|3
caddy|6357|true|cares, canty, calmy, cadgy, caddy|11687, 7492, 6782, 6316, 6357|5
cadet|7777|true|cares, cagey, caned, cadet|11687, 8428, 8376, 7777|4
cagey|8428|true|cares, cagey|11687, 8428|2
cairn|6535|true|cares, caird, cairn|11687, 6816, 6535|3
camel|7536|true|cares, cagey, caned, camel|11687, 8428, 8376, 7536|4
cameo|7351|true|cares, cagey, caned, camel, cameo|11687, 8428, 8376, 7536, 7351|5
canal|6659|true|cares, canty, canid, canon, canal|11687, 7492, 6769, 0, 6659|5
candy|6995|true|cares, canty, candy|11687, 7492, 6995|3
canny|7425|true|cares, canty, candy, canny|11687, 7492, 6995, 0|4
canoe|7566|true|cares, canoe|11687, 7566|2
canon|6280|true|cares, canty, canid, canon|11687, 7492, 6769, 0|4
caper|7639|true|cares, caner, cater, cager, carer, caper|11687, 8320, 7944, 7648, 8578, 7639|6
caput|5572|true|cares, canty, cagot, caput|11687, 7492, 5928, 5572|4
carat|7265|true|cares, carny, carol, cardi, carat|11687, 7683, 6510, 5879, 7265|5
cargo|5994|true|cares, carny, carol, cargo|11687, 7683, 6510, 5994|4
carol|6510|true|cares, carny, carol|11687, 7683, 6510|3
carry|7584|true|cares, carny, cardy, carby, carry|11687, 7683, 7253, 6980, 7584|5
carve|7196|true|cares, carte, carle, carve|11687, 8031, 7927, 7196|4
caste|7283|true|cares, caste|11687, 7283|2
catch|5486|true|cares, canty, catch|11687, 7492, 0|3
cater|7944|true|cares, caner, cater|11687, 8320, 7944|3
catty|7116|true|cares, canty, catty|11687, 7492, 0|3
caulk|5824|true|cares, canty, calid, caulk|11687, 7492, 6626, 5824|4
cause|7152|true|cares, cause|11687, 7152|2
cavil|5646|true|cares, canty, calid, cavil|11687, 7492, 6626, 5646|4
cease|7166|true|cares, cease|11687, 0|2
cedar|5577|true|cares, cedar|11687, 5577|2
cello|5330|true|cares, cento, cello|11687, 5577, 0|3
chafe|5567|true|cares, coate, clade, chape, chace, chafe|11687, 8021, 6049, 5767, 5862, 5567|6
chaff|3729|true|cares, coaly, chant, champ, chack, chaff|11687, 7636, 5303, 4026, 4288, 3729|6
chain|5051|true|cares, coaly, chant, chain|11687, 7636, 5303, 5051|4
chair|5276|true|cares, chair|11687, 5276|2
chalk|4658|true|cares, coaly, chalk|11687, 7636, 4658|3
champ|4026|true|cares, coaly, chant, champ|11687, 7636, 5303, 4026|4
chant|5303|true|cares, coaly, chant|11687, 7636, 5303|3
chaos|8177|true|cares, coats, chaos|11687, 10069, 8177|3
chard|5165|true|cares, clary, coarb, chart, chard|11687, 6099, 5979, 5204, 5165|5
charm|4448|false|cares, clary, coarb, chart, chard, charr|11687, 6099, 5979, 5204, 5165, 5109|6
chart|5204|true|cares, clary, coarb, chart|11687, 6099, 5979, 5204|4
chase|5986|true|cares, chase|11687, 5986|2
chasm|4264|true|cares, coast, clash, chasm|11687, 6705, 4759, 4264|4
cheap|4309|true|cares, cleat, cheap|11687, 5296, 4309|3
cheat|5086|true|cares, cleat, cheat|11687, 5296, 5086|3
check|3804|true|cares, chevy, chelp, chemo, cheek, check|11687, 4736, 4005, 3786, 5886, 3804|6
cheek|5886|true|cares, coney, culet, cimex, ceded, cheek|11687, 8908, 7078, 6000, 7041, 5886|6
cheer|6399|true|cares, comer, citer, cuber, ceder, cheer|11687, 7597, 6962, 6415, 6985, 6399|6
chess|7550|true|cares, coeds, ciels, chems, chess|11687, 9088, 8691, 7333, 7550|5
chest|4536|true|cares, chest|11687, 4536|2
